ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-11,34,33050,635,Employed,Master,15,15004,60,Married,0,Mortgage,259,0.3644640151968695,2,2,0.17244594728414536,0,Home,0,20,20,871,2047,16622,64169,2754.1666666666665,0.6735758606562657,4,7808,0.20250400000000002,0.2175797563005555,412.33214059509993,0.243751458007298,0,48.0
2018-01-12,34,15000,615,Employed,High School,13,45379,96,Single,0,Rent,243,0.3663680399126467,2,1,0.258833003449704,0,Home,0,18,2,3773,1681,70338,15981,1250.0,0.5380143190054469,8,54357,0.272879,0.27338519619218543,1168.2111711079963,1.128968936886397,0,53.0
2018-01-13,42,93076,601,Employed,High School,21,18736,24,Married,4,Mortgage,307,0.4691395934293889,0,0,0.3822876661689494,0,Auto,0,28,24,1093,1527,162481,2127,7756.333333333333,0.810710195282049,4,160354,0.193236,0.1740088207973197,929.9632765305996,0.159477838737883,1,37.6
2018-01-14,18,111675,524,Employed,Bachelor,0,28309,48,Single,1,Mortgage,239,0.10593296375947128,2,4,0.10554679203165596,0,Other,0,28,3,22576,4389,39922,18799,9306.25,0.7183926818885632,8,21123,0.261309,0.2569146323118727,949.5957535705887,0.12772016156567778,0,51.0
2018-01-15,19,28623,586,Employed,Bachelor,0,62920,60,Married,0,Mortgage,199,0.2259897568393164,3,1,0.3839294198348076,0,Debt Consolidation,1,17,13,6438,1621,29764,45549,2385.25,0.6993643039053736,5,5119,0.27492,0.2599827335580291,1883.7900095648915,0.8731956858043776,0,62.0
2018-01-16,33,36717,599,Employed,High School,11,15473,60,Married,1,Own,872,0.15374712760065024,6,0,0.09827783420022701,0,Education,0,18,22,3006,429,38656,24752,3059.75,0.8006602761733852,4,13904,0.22097299999999997,0.21802495048907566,425.6117016717157,0.4240907595952989,0,50.0
2018-01-17,27,26909,545,Employed,Bachelor,5,22796,36,Married,1,Rent,287,0.45010324484107167,2,0,0.6764013094775502,0,Debt Consolidation,0,20,6,3804,625,43398,22738,2242.4166666666665,0.8712148336619424,2,20660,0.235296,0.21248259462032507,861.7492867482024,0.5122818180154755,0,63.0
2018-01-18,43,56527,571,Self-Employed,High School,25,37312,36,Single,3,Mortgage,132,0.405604511818463,8,1,0.156381351925257,0,Home,0,25,17,2986,1738,195116,16188,4710.583333333333,0.6919461337736426,6,178928,0.236812,0.25166833868078076,1486.8128823328664,0.3436544410280821,0,50.0
2018-01-19,29,85723,543,Employed,High School,5,35441,36,Married,2,Rent,336,0.47829537247634757,1,1,0.16173694285168722,0,Home,0,23,28,8906,1354,16868,51794,7143.583333333333,0.7657420716829259,9,2330,0.248941,0.24091308549739968,1392.151211281062,0.2419165747275847,0,50.0
2018-01-20,23,15000,516,Employed,High School,3,18696,36,Single,2,Rent,229,0.17702764461278764,4,0,0.21138606931350667,0,Home,0,30,23,4176,1052,22005,105402,1250.0,0.6509912137799201,3,8197,0.245696,0.2687527921774953,762.0178010532584,0.7928142408426067,0,53.0
2018-01-21,57,68155,550,Employed,Master,34,17011,36,Married,0,Rent,259,0.13090394071312889,3,0,0.5171434674640538,0,Education,0,21,16,1570,688,7386,20134,5679.583333333333,0.7303540814051995,10,5835,0.227011,0.22091504869519366,650.4633464267891,0.16012853286070677,1,45.6
2018-01-22,37,31376,547,Employed,High School,14,19602,48,Single,4,Mortgage,575,0.3004523286220007,0,1,0.44385147667680913,0,Debt Consolidation,0,24,23,4214,445,194932,52326,2614.6666666666665,0.8577488218551673,5,142606,0.241102,0.24397027707825855,643.3712481325036,0.4659757450787241,0,53.0
2018-01-23,40,49147,547,Employed,High School,15,45430,84,Married,0,Mortgage,322,0.3961172672933452,1,2,0.25284992185404304,0,Home,0,20,5,2377,5909,81205,61635,4095.5833333333335,0.9661275630156608,7,19570,0.29693,0.29282706176755724,1277.1386799028578,0.39045443585232653,0,55.0
2018-01-24,22,55031,572,Employed,Associate,2,19157,60,Single,2,Own,226,0.08908552136390621,3,2,0.11812352421912069,0,Home,0,28,18,2010,436,17339,10719,4585.916666666667,0.7478259555672432,8,6620,0.238157,0.223661829685678,533.0916833408986,0.1655267067669274,0,49.0
2018-01-25,33,47869,600,Employed,Master,15,22903,72,Married,0,Mortgage,504,0.145801995945731,2,4,0.2350378926615911,0,Debt Consolidation,0,30,4,2148,610,48078,9860,3989.0833333333335,0.9430141115139691,5,38218,0.237903,0.19079628772855503,536.4417597738748,0.26082226738153075,0,52.0
2018-01-26,41,38219,543,Unemployed,High School,18,17793,84,Married,0,Mortgage,716,0.26368822408094805,2,0,0.5400527572157345,0,Auto,0,35,23,2548,1157,93857,70676,3184.9166666666665,0.8418767239445692,2,23181,0.271293,0.3043829033005212,514.0096033830982,0.3861983631334462,0,62.0
2018-01-27,26,36841,536,Employed,Associate,0,31343,48,Single,0,Mortgage,527,0.3267209585133124,0,1,0.16665866538334215,0,Debt Consolidation,0,23,15,165,1584,108207,11255,3070.0833333333335,0.6674090416632434,4,96952,0.258343,0.27737104367396176,1087.6610677280426,0.5259339543643362,0,49.0
2018-01-28,44,70785,575,Employed,High School,19,23807,36,Single,2,Rent,118,0.24200073611036957,2,2,0.2391625819778954,0,Education,0,22,13,5195,1395,164883,18091,5898.75,0.550531412664266,6,146792,0.221307,0.20482127473368267,890.6126214341275,0.17098751793755076,1,38.400000000000006
2018-01-29,32,57690,519,Employed,Associate,9,13336,24,Married,2,Mortgage,231,0.37648340863367985,0,2,0.1645973238071734,0,Home,0,22,14,5856,221,11848,34689,4807.5,0.800682272223102,7,8580,0.228836,0.24655356857828323,709.4586128922605,0.19562321641024658,0,50.0
2018-01-30,36,52562,618,Employed,Bachelor,14,13569,96,Single,0,Rent,413,0.391498410293958,3,0,0.2950470214768636,0,Debt Consolidation,0,25,22,1047,1597,172962,9343,4380.166666666667,0.6860634910457355,4,163619,0.23956900000000003,0.19165520000000003,277.29314173253766,0.15759517713919657,1,36.0
2018-01-31,32,19983,583,Employed,Bachelor,8,8108,24,Married,0,Mortgage,357,0.5827074439077173,4,2,0.06875890658606061,0,Auto,0,21,9,625,3369,10988,20008,1665.25,0.905235878993313,7,3805,0.191608,0.19386613837434943,410.23766757716345,0.4607342246372397,0,54.0
2018-02-01,62,42019,633,Employed,Associate,41,14535,60,Married,3,Mortgage,342,0.269066561428211,2,0,0.6094701007329897,0,Home,0,22,8,12715,1443,158333,33165,3501.5833333333335,0.7720454133499897,6,125168,0.20303500000000002,0.20274139524779064,387.309054773825,0.20827979383816606,0,53.0
2018-02-02,39,76471,623,Employed,Associate,16,32760,48,Married,0,Mortgage,246,0.43580828981947384,4,0,0.5270860754768251,0,Other,0,23,14,25753,8698,141325,3584,6372.583333333333,0.7741840476323656,5,137741,0.21626000000000004,0.2405097785172081,1068.9595963886668,0.20634639479886496,0,52.0
2018-02-03,27,38073,555,Employed,High School,3,42696,96,Widowed,0,Rent,199,0.17988578420795368,4,3,0.23497633684641808,0,Home,0,29,21,2735,4577,655065,25655,3172.75,0.8960275843652453,3,629410,0.300196,0.3179423335539306,1231.258354384544,0.4507945329397349,0,44.0
2018-02-04,49,75313,580,Employed,Associate,24,31032,48,Married,1,Mortgage,1100,0.35735212618278034,4,1,0.0495941941160546,0,Auto,0,24,7,9209,789,40144,5894,6276.083333333333,0.5530795629686488,4,34250,0.23603200000000002,0.20750796637204852,956.7728617404356,0.3277159898143113,0,51.0
2018-02-05,25,66152,434,Employed,High School,0,29065,72,Married,3,Own,408,0.2470972756116049,2,2,0.22247016469651787,0,Auto,1,19,3,2554,653,28554,14541,5512.666666666667,0.7648528681063498,3,14013,0.327065,0.3467948997020133,963.8957115496684,0.24886244616332112,0,61.0
2018-02-06,42,88896,592,Self-Employed,Bachelor,19,20676,36,Married,0,Own,556,0.3907164676722613,3,0,0.08562117568170968,0,Home,0,33,4,3663,400,80265,19693,7408.0,0.8290495175192765,8,60572,0.209676,0.2254146119399659,795.4292106071345,0.18242834916403,0,53.0
2018-02-07,18,51659,608,Unemployed,Doctorate,0,32450,36,Divorced,5,Mortgage,404,0.24822039980598215,0,2,0.17330510834796517,0,Home,0,24,23,1994,1156,70671,2805,4304.916666666667,0.9261729005822791,8,67866,0.21345,0.2322750789708888,1259.9815571745364,0.3865304919974145,0,48.0
2018-02-08,24,43909,599,Employed,Doctorate,2,25416,60,Single,1,Mortgage,412,0.09144841897110087,4,0,0.06903714761235193,0,Home,0,33,17,6340,1566,548973,15744,3659.0833333333335,0.9194490082535745,6,533229,0.230916,0.2210363879160912,703.4607417833159,0.30484704505681726,1,33.6
2018-02-09,42,15000,589,Employed,Master,23,54297,120,Divorced,1,Own,391,0.2406720890039728,2,0,0.1475674672228591,0,Education,0,21,9,4099,3607,14627,5359,1250.0,0.6978533505335964,8,9268,0.314797,0.3777564,1751.7333949501221,1.7141867159600976,0,53.0
2018-02-10,48,50840,570,Employed,Bachelor,27,20968,48,Divorced,0,Rent,230,0.45104623545735756,4,1,0.15873786082809802,0,Home,0,23,23,12209,1091,29182,5330,4236.666666666667,0.7362460727391448,6,23852,0.23096800000000003,0.22954821636398404,671.5363496180765,0.21279378826547832,0,51.0
2018-02-11,42,49432,655,Employed,Bachelor,20,43109,96,Married,2,Own,189,0.1508652389598113,1,3,0.0854867091689683,0,Debt Consolidation,0,18,25,2147,516,20821,21922,4119.333333333333,0.6363662262690771,4,5157,0.250609,0.2546857257445267,1055.4919718821732,0.3021100433441107,0,44.0
2018-02-12,38,46651,578,Employed,High School,17,34100,72,Married,0,Mortgage,489,0.24027516847136238,4,0,0.1091628332021577,0,Home,0,17,23,4714,3410,92702,62431,3887.5833333333335,0.7622270351064344,1,30271,0.2601,0.2377445920110619,893.0818715999869,0.35551183166919986,0,51.0
2018-02-13,36,46669,585,Employed,Bachelor,13,31815,72,Widowed,2,Mortgage,443,0.1595722811204542,3,1,0.21873408639369046,0,Debt Consolidation,0,27,11,6664,344,37754,48482,3889.0833333333335,0.6666759918814988,5,2622,0.254315,0.305178,967.7730183709209,0.36275206712059505,0,52.0
2018-02-14,22,30619,486,Employed,Associate,1,8056,48,Married,0,Mortgage,644,0.38158580547892545,3,2,0.3648015973534561,0,Home,0,23,21,4743,1743,92664,11308,2551.5833333333335,0.8012321081419554,4,81356,0.260056,0.22741905669962287,257.06882104094217,0.353141051389376,0,53.0
2018-02-15,31,15000,594,Unemployed,Associate,6,35052,48,Married,1,Rent,582,0.41164626273894206,4,0,0.38996928932045916,0,Home,0,33,1,4223,1374,114021,7071,1250.0,0.8308998222352617,2,106950,0.233052,0.21748142840258786,1099.5638853378762,1.345251108270301,0,60.0
2018-02-16,34,25310,549,Employed,Bachelor,11,20666,36,Married,3,Other,269,0.1576173236137763,1,2,0.4078729574398653,0,Home,0,22,27,12849,1241,103901,18376,2109.1666666666665,0.8522811616404843,7,85525,0.23116599999999998,0.2662994559802799,839.5964351965628,0.5256087405120013,0,55.0
2018-02-17,52,58241,511,Employed,High School,30,17641,108,Married,2,Mortgage,710,0.23617422291994392,3,1,0.5806122105054636,0,Debt Consolidation,0,27,12,1062,842,56451,48215,4853.416666666667,0.8458506920877988,4,8236,0.307141,0.29141983931454113,463.1035790377182,0.24170675208963818,0,58.0
2018-02-18,44,173589,630,Employed,Associate,22,10493,108,Single,0,Mortgage,591,0.10676685089248424,5,0,0.20892032423852122,0,Home,0,22,28,5412,3698,121184,35299,14465.75,0.8832773336865882,7,85885,0.240493,0.23426945947935873,233.82502952599012,0.05701916800207318,1,35.2
2018-02-19,18,48287,568,Unemployed,Master,0,21965,60,Married,2,Mortgage,569,0.33500280523462916,3,2,0.5975840662501042,0,Auto,0,26,7,1471,1560,71972,8120,4023.9166666666665,0.9016241990842422,1,63852,0.242965,0.23427189272592272,624.6065939946494,0.2966280598905667,0,61.0
2018-02-20,43,58404,594,Employed,High School,19,22399,36,Married,2,Other,1242,0.15704583912196482,3,0,0.42678457205703024,0,Home,1,18,26,1260,1710,38103,14389,4867.0,0.6940358330827305,4,23714,0.210399,0.2285935241712056,865.4179291004874,0.4330014236902584,0,61.0
2018-02-21,35,84613,593,Self-Employed,Associate,14,11481,36,Divorced,0,Mortgage,1121,0.3837852503878791,4,1,0.15653697607453546,0,Education,0,27,27,2056,2229,36373,10319,7051.083333333333,0.7077460329091314,4,26054,0.199981,0.21018953785034494,432.6591845765254,0.22034333039743662,1,41.6
2018-02-22,31,26796,582,Employed,Master,10,10544,120,Married,1,Mortgage,569,0.6291945852937246,2,1,0.25221659536371915,0,Other,0,29,9,4299,272,45889,1414,2233.0,0.4524378988726154,2,44475,0.274544,0.29202508291801166,271.76793337769465,0.37651945068414444,0,57.0
2018-02-23,47,70564,623,Employed,Bachelor,25,28093,24,Divorced,0,Rent,535,0.2118484487361359,4,1,0.09455723690188979,0,Auto,0,19,3,4810,387,263650,65969,5880.333333333333,0.8401945848633354,3,197681,0.191593,0.22428147229185716,1463.3595567362074,0.3398378022906084,0,46.0
2018-02-24,52,40846,672,Employed,Bachelor,32,34059,72,Married,1,Mortgage,692,0.030620584012041978,7,1,0.1007291612526076,0,Education,0,22,11,2371,511,61866,38625,3403.8333333333335,0.6361221225731275,5,23241,0.213059,0.22736267357873058,870.7185684219855,0.4591054894252516,0,44.0
2018-02-25,51,72551,603,Employed,High School,30,24225,48,Married,3,Mortgage,301,0.1286311030280663,2,1,0.2520235532750552,0,Auto,1,20,21,6764,1194,66460,100275,6045.916666666667,0.9265138993900481,6,6148,0.217725,0.22755127657233906,773.2004347451801,0.1776737083836496,0,54.0
2018-02-26,29,51326,573,Employed,Associate,7,39160,48,Single,0,Mortgage,303,0.1388325306523651,3,1,0.2445952263649519,0,Other,0,22,10,7311,479,55316,87149,4277.166666666667,0.9608160580708694,5,9868,0.24766000000000002,0.25982497875087723,1319.984164932854,0.3794531032847727,0,51.0
2018-02-27,36,67699,632,Employed,Master,12,21095,72,Married,0,Rent,564,0.3101570125766353,2,0,0.33305224774321013,0,Debt Consolidation,1,31,19,18625,504,21824,26329,5641.583333333333,0.8436799091633125,4,3393,0.220095,0.24113602755797955,556.8201673998749,0.19867120649933528,0,57.0
2018-02-28,43,38754,589,Self-Employed,Bachelor,20,21435,24,Divorced,0,Rent,262,0.4152147157377789,2,1,0.02047434324732817,0,Home,0,28,1,1985,895,11604,61555,3229.5,0.7648838295118142,2,4564,0.201935,0.18075342767376182,1070.903607211529,0.4127275451963242,0,59.0
2018-03-01,51,81693,596,Employed,Bachelor,28,13925,48,Single,4,Mortgage,542,0.18866631041439125,2,1,0.12585995092778934,0,Home,0,33,14,1412,2924,85208,17161,6807.75,0.9781251307121128,5,68047,0.210925,0.21241873630264288,433.0109335101653,0.1432207313003805,1,36.800000000000004
2018-03-02,34,124227,593,Employed,High School,10,10095,108,Divorced,2,Mortgage,436,0.24525829963301754,2,2,0.3551093700805993,0,Auto,0,26,8,3342,2864,24340,30594,10352.25,0.9549110175029271,5,3647,0.258595,0.29429446264595266,267.08411133640635,0.0679160676506466,0,53.0
2018-03-03,37,21986,517,Employed,High School,15,55677,60,Single,0,Mortgage,262,0.11599978594325912,2,0,0.21650399126740433,0,Education,0,20,7,745,2095,94889,13031,1832.1666666666667,0.5472186997646056,7,81858,0.302177,0.2417416,1607.347321231851,1.0202932709352412,0,52.0
2018-03-04,26,48840,540,Employed,Doctorate,3,38779,72,Single,1,Own,408,0.36203691274322214,4,1,0.03575215561994375,0,Home,0,33,10,27458,1976,59602,22429,4070.0,0.7776907025958487,6,37173,0.283779,0.2852493894477849,1130.0094313960765,0.37788929518331116,0,51.0
2018-03-05,25,38634,494,Employed,Associate,3,10979,72,Single,0,Rent,774,0.11367920036154423,2,1,0.6035644237578898,0,Debt Consolidation,0,25,24,2163,1101,169008,40013,3219.5,0.8058898649778546,2,128995,0.278979,0.29352614433598,325.7255995578843,0.3415827301002902,0,54.0
2018-03-06,49,69811,580,Employed,Bachelor,26,23810,24,Married,2,Own,420,0.33452870878938334,0,0,0.5107555298591124,0,Education,0,19,12,1347,1449,132541,42334,5817.583333333333,0.9736428918572534,4,90207,0.20881,0.1992699787371709,1210.980097174935,0.28035354265229295,1,44.800000000000004
2018-03-07,56,35357,582,Employed,High School,35,20951,36,Single,1,Own,421,0.07849376836632894,1,1,0.22012321025013062,0,Auto,0,29,19,3214,1129,113294,2217,2946.4166666666665,0.9354742667280642,5,111077,0.214951,0.19087181788748936,768.904084909565,0.4038478665869497,0,48.0
2018-03-08,39,15000,589,Employed,Bachelor,21,19206,48,Married,4,Rent,475,0.30988919095677103,2,1,0.1717374802914602,0,Education,0,25,21,3287,1247,24295,52071,1250.0,0.7085174792325675,5,7695,0.219706,0.21985762693967253,604.957290555621,0.8639658324444969,0,52.0
2018-03-09,52,138831,599,Employed,Master,30,17952,48,Married,0,Mortgage,507,0.08986542700837671,7,0,0.4539646803740622,0,Other,0,17,7,3794,1403,7326,6633,11569.25,0.6728590158068047,0,10398,0.213452,0.2436308178438162,588.8773831749895,0.09472328657216238,1,43.2
2018-03-10,44,89581,613,Employed,Bachelor,19,26652,48,Married,2,Other,341,0.00977031362304874,3,0,0.4072867602018497,0,Home,0,31,9,4722,822,209762,13075,7465.083333333333,0.9432210393422367,4,196687,0.215152,0.20681764620795182,820.7425694042207,0.15562352321196068,1,38.400000000000006
2018-03-11,32,15000,547,Employed,High School,8,33159,72,Married,2,Rent,480,0.12765215367790592,1,0,0.3963492579036044,0,Debt Consolidation,0,28,22,1138,154,64836,3814,1250.0,0.9001255280539371,2,61022,0.274659,0.2517164336866763,896.7054671869552,1.101364373749564,0,53.0
2018-03-12,44,29516,604,Employed,Bachelor,20,26935,12,Married,3,Mortgage,238,0.6751543536695164,3,2,0.4283310884422388,0,Home,0,24,19,4246,2256,53546,11558,2459.6666666666665,0.8778829910930789,5,41988,0.18993500000000002,0.19475208381001238,2488.3502784865723,1.1084226637023604,0,57.0
2018-03-13,58,178873,668,Self-Employed,Bachelor,33,20738,60,Divorced,1,Mortgage,270,0.3784066208591745,4,3,0.3139016847663468,0,Home,1,22,7,2249,1229,47207,88780,14906.083333333334,0.8701201962077505,8,1505,0.19173800000000002,0.15339040000000004,497.05391240083884,0.05145911875358531,1,44.800000000000004
2018-03-14,39,99444,558,Employed,Associate,16,20361,12,Married,2,Other,288,0.4684497766792797,5,2,0.21339944805601568,1,Other,0,32,29,1926,223,102694,32142,8287.0,0.6902899356067042,8,70552,0.206361,0.1921636431929644,1878.5032333505933,0.2614339608242541,1,49.6
2018-03-15,58,100078,551,Unemployed,Master,35,35186,24,Single,1,Other,510,0.1277599399918605,3,2,0.23719058719803168,0,Debt Consolidation,0,11,16,7469,2273,196858,25318,8339.833333333334,0.7579704684473726,4,171540,0.23468599999999998,0.21449750654841696,1815.8378043198595,0.2788830077723207,1,39.2
2018-03-16,18,43536,604,Employed,Bachelor,0,27770,48,Married,1,Own,437,0.2975228994832947,3,1,0.16396837966161487,0,Education,0,22,7,605,1589,34437,152916,3628.0,0.4663263301057654,6,7810,0.22077,0.2443711714196808,912.0767593327882,0.37185136696052595,0,49.0
2018-03-17,49,60594,604,Employed,Master,27,22841,72,Married,3,Rent,377,0.15131461641531568,2,2,0.26542389569589,0,Auto,0,30,12,6158,241,11797,10870,5049.5,0.7134952267841244,5,3506,0.235841,0.24615249448670568,609.8905425817638,0.19544322063209502,0,48.0
2018-03-18,41,46836,506,Employed,Bachelor,17,21634,24,Married,4,Own,569,0.17822044489300842,0,1,0.23730604446049347,0,Home,0,20,3,17853,6380,355223,27999,3903.0,0.9247910769132933,5,327224,0.243634,0.2556889802068076,1160.8237882503004,0.4432036352165771,0,49.0
2018-03-19,36,83154,604,Employed,High School,11,26176,60,Divorced,2,Mortgage,487,0.38661488140892875,1,0,0.044054243194568056,0,Auto,0,32,5,4420,1039,88369,72599,6929.5,0.9702887349962742,6,15770,0.229176,0.2184028973560683,720.5777091051112,0.17426621099720202,0,48.0
2018-03-20,41,31152,591,Employed,Associate,19,17427,60,Divorced,1,Mortgage,348,0.37019759311374106,3,2,0.1417042351756086,0,Education,0,21,6,22352,11007,93688,55037,2596.0,0.7764411737538404,2,38651,0.226927,0.22976006207634683,491.03513187102067,0.3232030554202699,0,53.0
2018-03-21,18,21646,580,Employed,High School,0,33215,36,Single,3,Rent,240,0.41353257288776746,2,2,0.40555115537948,0,Education,0,20,17,6231,3482,9713,42373,1803.8333333333333,0.8985019477087167,8,2016,0.228215,0.24974828058791376,1320.180462072675,0.86492495356519,0,59.0
2018-03-22,37,113669,613,Employed,Master,14,12862,48,Married,0,Mortgage,267,0.2198153227825336,4,0,0.29741502041893436,0,Home,0,20,17,2257,5496,78665,68128,9472.416666666666,0.5707553175636345,5,10537,0.201362,0.21715972689937046,403.2504930237097,0.07075813032827347,1,38.400000000000006
2018-03-23,44,40045,445,Employed,Bachelor,20,17930,96,Married,0,Rent,193,0.6948362585674053,0,1,0.11792963722800012,0,Auto,0,23,4,1357,1157,8278,54305,3337.0833333333335,0.8463046222590694,10,2754,0.33043000000000006,0.29968199018922115,494.0511574458627,0.20588372803971414,0,56.0
2018-03-24,57,146890,561,Employed,Bachelor,37,29898,48,Divorced,2,Other,432,0.3277471243148822,4,0,0.19655866333200894,1,Education,0,22,10,2639,1355,44362,42121,12240.833333333334,0.4964270348632216,2,2241,0.244398,0.22562947505012676,951.1298860796293,0.11299311479988801,1,48.0
2018-03-25,33,28126,575,Employed,Associate,15,12500,36,Married,0,Own,262,0.22067002855741916,4,0,0.4694574332314176,0,Other,0,38,23,3426,2128,120183,6599,2343.8333333333335,0.700056603582853,3,113584,0.21000000000000002,0.22412748977022537,480.05389066552397,0.31659840318517696,0,54.0
2018-03-26,30,43560,556,Employed,High School,9,10031,60,Married,4,Own,314,0.09156252794477072,3,1,0.08079843965062718,0,Education,0,21,23,2240,1514,82524,23656,3630.0,0.9032023423995265,1,58868,0.237031,0.23377127888449542,284.95630657556177,0.1650017373486396,0,48.0
2018-03-27,33,28715,609,Self-Employed,Bachelor,13,22732,60,Divorced,1,Rent,378,0.2585035395742395,4,2,0.46312352196394746,0,Education,0,23,8,6358,2160,121366,64525,2392.9166666666665,0.9093425325324093,4,56841,0.22323199999999999,0.23316591602906372,644.9673610852577,0.42749811363479345,0,57.0
2018-03-28,50,48276,589,Employed,Associate,29,9431,12,Married,1,Own,679,0.14113670711465698,3,1,0.24962344738718617,0,Debt Consolidation,0,16,14,793,1021,34836,11129,4023.0,0.9461253376476386,4,23707,0.179931,0.18428417598696148,866.5580601293997,0.3841804772879442,0,52.0
2018-03-29,43,19296,581,Employed,High School,21,11505,24,Married,2,Mortgage,641,0.09488685320202442,0,2,0.11509084082343013,0,Auto,0,17,11,997,197,23982,11114,1608.0,0.764319186992214,4,12868,0.19600499999999998,0.1926703799407903,581.4449041654066,0.7602269304511234,0,51.0
2018-03-30,33,39326,634,Employed,Bachelor,11,32154,36,Divorced,3,Own,392,0.47955829983330583,1,1,0.1704635362821719,0,Auto,0,18,6,3699,708,42359,23549,3277.1666666666665,0.941144017460468,5,18810,0.20015400000000003,0.21568223662545544,1220.8052053474864,0.4921340198385251,0,51.0
2018-03-31,46,19753,542,Employed,High School,21,19882,24,Divorced,1,Mortgage,759,0.20397582419348187,3,0,0.43804952114344464,0,Education,0,37,13,1577,1744,58341,64558,1646.0833333333333,0.9316959317982031,8,4190,0.223882,0.19325197113170078,1005.3682402903357,1.0718583953568588,0,58.0
